model,scenario,region,variable,unit,time,value
canoe,reference,alberta,emissions,Mt CO2-equiv/yr,2025,247.895700111457
canoe,reference,alberta,emissions,Mt CO2-equiv/yr,2030,239.83915964653545
canoe,reference,alberta,emissions,Mt CO2-equiv/yr,2035,230.17923449309725
canoe,reference,alberta,emissions,Mt CO2-equiv/yr,2040,230.52600647666475
canoe,reference,alberta,emissions,Mt CO2-equiv/yr,2045,229.73227211506492
canoe,reference,alberta,emissions,Mt CO2-equiv/yr,2050,232.47422412479986
canoe,reference,alberta,emissions,Mt CO2/yr,2025,270.470067754464
canoe,reference,alberta,emissions,Mt CO2/yr,2030,259.96023384137186
canoe,reference,alberta,emissions,Mt CO2/yr,2035,247.5779109740111
canoe,reference,alberta,emissions,Mt CO2/yr,2040,245.957400677312
canoe,reference,alberta,emissions,Mt CO2/yr,2045,244.45643650751276
canoe,reference,alberta,emissions,Mt CO2/yr,2050,247.04579725504428
canoe,reference,alberta,emissions,kt CH4/yr,2025,38.88178346356577
canoe,reference,alberta,emissions,kt CH4/yr,2030,50.48111059049292
canoe,reference,alberta,emissions,kt CH4/yr,2035,63.5893659837878
canoe,reference,alberta,emissions,kt CH4/yr,2040,81.97754063202547
canoe,reference,alberta,emissions,kt CH4/yr,2045,88.79115514024106
canoe,reference,alberta,emissions,kt CH4/yr,2050,92.66754088620702
canoe,reference,alberta,emissions,kt N2O/yr,2025,8.673467983651385
canoe,reference,alberta,emissions,kt N2O/yr,2030,10.261197986410265
canoe,reference,alberta,emissions,kt N2O/yr,2035,12.018878677982016
canoe,reference,alberta,emissions,kt N2O/yr,2040,14.073862509633205
canoe,reference,alberta,emissions,kt N2O/yr,2045,14.865144726586557
canoe,reference,alberta,emissions,kt N2O/yr,2050,15.508856369457956
canoe,reference,british columbia,emissions,Mt CO2-equiv/yr,2025,69.12620951248996
canoe,reference,british columbia,emissions,Mt CO2-equiv/yr,2030,70.98671736679415
canoe,reference,british columbia,emissions,Mt CO2-equiv/yr,2035,68.75662550304521
canoe,reference,british columbia,emissions,Mt CO2-equiv/yr,2040,68.95754968497538
canoe,reference,british columbia,emissions,Mt CO2-equiv/yr,2045,69.89147906739382
canoe,reference,british columbia,emissions,Mt CO2-equiv/yr,2050,71.74648878118295
canoe,reference,british columbia,emissions,Mt CO2/yr,2025,76.19437686278432
canoe,reference,british columbia,emissions,Mt CO2/yr,2030,77.97183897190614
canoe,reference,british columbia,emissions,Mt CO2/yr,2035,75.40364272776927
canoe,reference,british columbia,emissions,Mt CO2/yr,2040,75.63894696412528
canoe,reference,british columbia,emissions,Mt CO2/yr,2045,76.62083715861404
canoe,reference,british columbia,emissions,Mt CO2/yr,2050,78.66550773583431
canoe,reference,british columbia,emissions,kt CH4/yr,2025,10.80570846835267
canoe,reference,british columbia,emissions,kt CH4/yr,2030,8.865518052009497
canoe,reference,british columbia,emissions,kt CH4/yr,2035,6.519519791933087
canoe,reference,british columbia,emissions,kt CH4/yr,2040,6.84054553503648
canoe,reference,british columbia,emissions,kt CH4/yr,2045,6.730167836482163
canoe,reference,british columbia,emissions,kt CH4/yr,2050,6.147259082860046
canoe,reference,british columbia,emissions,kt N2O/yr,2025,2.5016131866827678
canoe,reference,british columbia,emissions,kt N2O/yr,2030,2.4289433073565405
canoe,reference,british columbia,emissions,kt N2O/yr,2035,2.2323197097716507
canoe,reference,british columbia,emissions,kt N2O/yr,2040,2.069414567892398
canoe,reference,british columbia,emissions,kt N2O/yr,2045,2.01478494827165
canoe,reference,british columbia,emissions,kt N2O/yr,2050,2.076814120381453
canoe,reference,canada,emissions,Mt CO2-equiv/yr,2025,670.372299038202
canoe,reference,canada,emissions,Mt CO2-equiv/yr,2030,656.3910403852169
canoe,reference,canada,emissions,Mt CO2-equiv/yr,2035,614.4562446821681
canoe,reference,canada,emissions,Mt CO2-equiv/yr,2040,606.3078109376371
canoe,reference,canada,emissions,Mt CO2-equiv/yr,2045,608.8121476608097
canoe,reference,canada,emissions,Mt CO2-equiv/yr,2050,614.8370785394625
canoe,reference,canada,emissions,Mt CO2/yr,2025,744.3888462632032
canoe,reference,canada,emissions,Mt CO2/yr,2030,724.402663019559
canoe,reference,canada,emissions,Mt CO2/yr,2035,675.0595519190613
canoe,reference,canada,emissions,Mt CO2/yr,2040,662.4777539704232
canoe,reference,canada,emissions,Mt CO2/yr,2045,664.0400869780725
canoe,reference,canada,emissions,Mt CO2/yr,2050,669.9486053835509
canoe,reference,canada,emissions,kt CH4/yr,2025,144.9083047210772
canoe,reference,canada,emissions,kt CH4/yr,2030,142.5651578338012
canoe,reference,canada,emissions,kt CH4/yr,2035,135.97862691854306
canoe,reference,canada,emissions,kt CH4/yr,2040,153.01727202174345
canoe,reference,canada,emissions,kt CH4/yr,2045,163.86731561130037
canoe,reference,canada,emissions,kt CH4/yr,2050,164.49656695930182
canoe,reference,canada,emissions,kt N2O/yr,2025,28.017837015689775
canoe,reference,canada,emissions,kt N2O/yr,2030,29.114066438710246
canoe,reference,canada,emissions,kt N2O/yr,2035,28.87226918547604
canoe,reference,canada,emissions,kt N2O/yr,2040,29.016895559536973
canoe,reference,canada,emissions,kt N2O/yr,2045,29.360486301510488
canoe,reference,canada,emissions,kt N2O/yr,2050,30.21364183403824
canoe,reference,manitoba,emissions,Mt CO2-equiv/yr,2025,14.885698134143553
canoe,reference,manitoba,emissions,Mt CO2-equiv/yr,2030,14.997329609399639
canoe,reference,manitoba,emissions,Mt CO2-equiv/yr,2035,14.667021793818975
canoe,reference,manitoba,emissions,Mt CO2-equiv/yr,2040,13.815496192375258
canoe,reference,manitoba,emissions,Mt CO2-equiv/yr,2045,13.098059220571528
canoe,reference,manitoba,emissions,Mt CO2-equiv/yr,2050,13.143033158134024
canoe,reference,manitoba,emissions,Mt CO2/yr,2025,16.797229236359613
canoe,reference,manitoba,emissions,Mt CO2/yr,2030,16.953800951173427
canoe,reference,manitoba,emissions,Mt CO2/yr,2035,16.581325785284225
canoe,reference,manitoba,emissions,Mt CO2/yr,2040,15.581407219459058
canoe,reference,manitoba,emissions,Mt CO2/yr,2045,14.745456046183707
canoe,reference,manitoba,emissions,Mt CO2/yr,2050,14.799804607916865
canoe,reference,manitoba,emissions,kt CH4/yr,2025,2.176093525465613
canoe,reference,manitoba,emissions,kt CH4/yr,2030,1.9156497958187961
canoe,reference,manitoba,emissions,kt CH4/yr,2035,1.5045808118628918
canoe,reference,manitoba,emissions,kt CH4/yr,2040,0.8380423062828144
canoe,reference,manitoba,emissions,kt CH4/yr,2045,0.8621807462430285
canoe,reference,manitoba,emissions,kt CH4/yr,2050,0.8892754790270879
canoe,reference,manitoba,emissions,kt N2O/yr,2025,0.7431104578625392
canoe,reference,manitoba,emissions,kt N2O/yr,2030,0.7448738498697547
canoe,reference,manitoba,emissions,kt N2O/yr,2035,0.7093673467123116
canoe,reference,manitoba,emissions,kt N2O/yr,2040,0.6268247983489802
canoe,reference,manitoba,emissions,kt N2O/yr,2045,0.5374241612381283
canoe,reference,manitoba,emissions,kt N2O/yr,2050,0.528867624344411
canoe,reference,new brunswick,emissions,Mt CO2-equiv/yr,2025,17.325287155409146
canoe,reference,new brunswick,emissions,Mt CO2-equiv/yr,2030,15.602603760950407
canoe,reference,new brunswick,emissions,Mt CO2-equiv/yr,2035,13.38099744227349
canoe,reference,new brunswick,emissions,Mt CO2-equiv/yr,2040,12.17216607533406
canoe,reference,new brunswick,emissions,Mt CO2-equiv/yr,2045,11.477289067537724
canoe,reference,new brunswick,emissions,Mt CO2-equiv/yr,2050,11.460162441308345
canoe,reference,new brunswick,emissions,Mt CO2/yr,2025,19.530762397354206
canoe,reference,new brunswick,emissions,Mt CO2/yr,2030,17.529371843255536
canoe,reference,new brunswick,emissions,Mt CO2/yr,2035,15.01365361616363
canoe,reference,new brunswick,emissions,Mt CO2/yr,2040,13.573231596002302
canoe,reference,new brunswick,emissions,Mt CO2/yr,2045,12.801684172477987
canoe,reference,new brunswick,emissions,Mt CO2/yr,2050,12.790398789842312
canoe,reference,new brunswick,emissions,kt CH4/yr,2025,2.9871584168977967
canoe,reference,new brunswick,emissions,kt CH4/yr,2030,2.4481274446639554
canoe,reference,new brunswick,emissions,kt CH4/yr,2035,1.3909746209115341
canoe,reference,new brunswick,emissions,kt CH4/yr,2040,0.8864114321047157
canoe,reference,new brunswick,emissions,kt CH4/yr,2045,0.7908822008607937
canoe,reference,new brunswick,emissions,kt CH4/yr,2050,0.8542379092873399
canoe,reference,new brunswick,emissions,kt N2O/yr,2025,0.903881828996003
canoe,reference,new brunswick,emissions,kt N2O/yr,2030,0.8074552225681711
canoe,reference,new brunswick,emissions,kt N2O/yr,2035,0.6233027698666758
