model,scenario,region,variable,unit,time,value
canoe,nz,alberta,capacity|electricity,GW,2025,53.205025843380724
canoe,nz,alberta,capacity|electricity,GW,2030,58.07466687604855
canoe,nz,alberta,capacity|electricity,GW,2035,60.958029912877755
canoe,nz,alberta,capacity|electricity,GW,2040,66.44270893654476
canoe,nz,alberta,capacity|electricity,GW,2045,71.20503075353786
canoe,nz,alberta,capacity|electricity,GW,2050,77.89494798563454
canoe,nz,british columbia,capacity|electricity,GW,2025,28.337532507274855
canoe,nz,british columbia,capacity|electricity,GW,2030,32.05472464589215
canoe,nz,british columbia,capacity|electricity,GW,2035,38.00731523845688
canoe,nz,british columbia,capacity|electricity,GW,2040,46.08106372031291
canoe,nz,british columbia,capacity|electricity,GW,2045,50.04889973563882
canoe,nz,british columbia,capacity|electricity,GW,2050,56.34751082859858
canoe,nz,canada,capacity|electricity,GW,2025,265.562765563351
canoe,nz,canada,capacity|electricity,GW,2030,302.39791606778414
canoe,nz,canada,capacity|electricity,GW,2035,345.77585960647235
canoe,nz,canada,capacity|electricity,GW,2040,368.8538522970787
canoe,nz,canada,capacity|electricity,GW,2045,379.71340457670925
canoe,nz,canada,capacity|electricity,GW,2050,401.3541178074111
canoe,nz,manitoba,capacity|electricity,GW,2025,8.552255772390735
canoe,nz,manitoba,capacity|electricity,GW,2030,8.846998338426545
canoe,nz,manitoba,capacity|electricity,GW,2035,8.920487468029222
canoe,nz,manitoba,capacity|electricity,GW,2040,9.531189595311613
canoe,nz,manitoba,capacity|electricity,GW,2045,9.743167707408269
canoe,nz,manitoba,capacity|electricity,GW,2050,10.23915333470901
canoe,nz,new brunswick,capacity|electricity,GW,2025,6.5514083911040375
canoe,nz,new brunswick,capacity|electricity,GW,2030,6.573593987268213
canoe,nz,new brunswick,capacity|electricity,GW,2035,6.379291040242756
canoe,nz,new brunswick,capacity|electricity,GW,2040,6.470433326168703
canoe,nz,new brunswick,capacity|electricity,GW,2045,6.8704819174640335
canoe,nz,new brunswick,capacity|electricity,GW,2050,7.24909369597291
canoe,nz,newfoundland and labrador,capacity|electricity,GW,2025,8.439448684909497
canoe,nz,newfoundland and labrador,capacity|electricity,GW,2030,8.442914830821007
canoe,nz,newfoundland and labrador,capacity|electricity,GW,2035,8.42198161091063
canoe,nz,newfoundland and labrador,capacity|electricity,GW,2040,8.372445868479707
canoe,nz,newfoundland and labrador,capacity|electricity,GW,2045,8.372687691794045
canoe,nz,newfoundland and labrador,capacity|electricity,GW,2050,8.370744663566642
canoe,nz,nova scotia,capacity|electricity,GW,2025,4.662712843244532
canoe,nz,nova scotia,capacity|electricity,GW,2030,5.443124140450795
canoe,nz,nova scotia,capacity|electricity,GW,2035,6.223135160404862
canoe,nz,nova scotia,capacity|electricity,GW,2040,6.890088256204298
canoe,nz,nova scotia,capacity|electricity,GW,2045,6.919044532140366
canoe,nz,nova scotia,capacity|electricity,GW,2050,7.34590588114889
canoe,nz,ontario,capacity|electricity,GW,2025,53.10615022969006
canoe,nz,ontario,capacity|electricity,GW,2030,75.24556258089297
canoe,nz,ontario,capacity|electricity,GW,2035,104.34162163963671
canoe,nz,ontario,capacity|electricity,GW,2040,110.13059939180552
canoe,nz,ontario,capacity|electricity,GW,2045,111.08171028126972
canoe,nz,ontario,capacity|electricity,GW,2050,115.1238537479591
canoe,nz,prince edward island,capacity|electricity,GW,2025,1.7721576384312572
canoe,nz,prince edward island,capacity|electricity,GW,2030,2.0402350861358904
canoe,nz,prince edward island,capacity|electricity,GW,2035,3.0248054517632137
canoe,nz,prince edward island,capacity|electricity,GW,2040,3.8514741548553135
canoe,nz,prince edward island,capacity|electricity,GW,2045,4.071954699804193
canoe,nz,prince edward island,capacity|electricity,GW,2050,4.269415008748737
canoe,nz,quebec,capacity|electricity,GW,2025,64.60175421510996
canoe,nz,quebec,capacity|electricity,GW,2030,67.49446440739617
canoe,nz,quebec,capacity|electricity,GW,2035,69.08858928525159
canoe,nz,quebec,capacity|electricity,GW,2040,68.62153837739066
canoe,nz,quebec,capacity|electricity,GW,2045,67.35788704360644
canoe,nz,quebec,capacity|electricity,GW,2050,67.99941810714427
canoe,nz,saskatchewan,capacity|electricity,GW,2025,12.072319437815317
canoe,nz,saskatchewan,capacity|electricity,GW,2030,13.919631174451842
canoe,nz,saskatchewan,capacity|electricity,GW,2035,16.14860279889875
canoe,nz,saskatchewan,capacity|electricity,GW,2040,18.20031067000519
canoe,nz,saskatchewan,capacity|electricity,GW,2045,19.780540214045487
canoe,nz,saskatchewan,capacity|electricity,GW,2050,22.252074553928452
canoe,nz,alberta,capacity|electricity|bioenergy,GW,2025,0.4440214065411692
canoe,nz,alberta,capacity|electricity|bioenergy,GW,2030,0.44404590844459
canoe,nz,alberta,capacity|electricity|bioenergy,GW,2035,0.44407437445109166
canoe,nz,alberta,capacity|electricity|bioenergy,GW,2040,0.40110587771721085
canoe,nz,alberta,capacity|electricity|bioenergy,GW,2045,0.3541395033567617
canoe,nz,alberta,capacity|electricity|bioenergy,GW,2050,0.3361755076791967
canoe,nz,alberta,capacity|electricity|coal,GW,2025,4.36
canoe,nz,alberta,capacity|electricity|coal,GW,2030,3.9520000000000004
canoe,nz,alberta,capacity|electricity|coal,GW,2035,3.1220000000000003
canoe,nz,alberta,capacity|electricity|coal,GW,2040,2.7
canoe,nz,alberta,capacity|electricity|coal,GW,2045,2.2990000000000004
canoe,nz,alberta,capacity|electricity|coal,GW,2050,1.366
canoe,nz,alberta,capacity|electricity|hydro,GW,2025,0.9274
canoe,nz,alberta,capacity|electricity|hydro,GW,2030,0.9274
canoe,nz,alberta,capacity|electricity|hydro,GW,2035,0.9274
canoe,nz,alberta,capacity|electricity|hydro,GW,2040,0.9274
canoe,nz,alberta,capacity|electricity|hydro,GW,2045,0.9274
canoe,nz,alberta,capacity|electricity|hydro,GW,2050,0.9274
canoe,nz,alberta,capacity|electricity|interconnection,GW,2025,0.294
canoe,nz,alberta,capacity|electricity|interconnection,GW,2030,0.294
canoe,nz,alberta,capacity|electricity|interconnection,GW,2035,0.294
canoe,nz,alberta,capacity|electricity|interconnection,GW,2040,0.294
canoe,nz,alberta,capacity|electricity|interconnection,GW,2045,0.294
canoe,nz,alberta,capacity|electricity|interconnection,GW,2050,0.294
canoe,nz,alberta,capacity|electricity|natural gas,GW,2025,12.949603655155014
canoe,nz,alberta,capacity|electricity|natural gas,GW,2030,12.94007733384267
canoe,nz,alberta,capacity|electricity|natural gas,GW,2035,12.941608483343582
canoe,nz,alberta,capacity|electricity|natural gas,GW,2040,15.007058292031553
canoe,nz,alberta,capacity|electricity|natural gas,GW,2045,16.65697309909106
canoe,nz,alberta,capacity|electricity|natural gas,GW,2050,18.767368410019138
canoe,nz,alberta,capacity|electricity|renewables,GW,2025,33.85978990061558
canoe,nz,alberta,capacity|electricity|renewables,GW,2030,39.14644967145656
canoe,nz,alberta,capacity|electricity|renewables,GW,2035,42.96971652396077
canoe,nz,alberta,capacity|electricity|renewables,GW,2040,47.10586374002288
canoe,nz,alberta,capacity|electricity|renewables,GW,2045,50.66305997762832
canoe,nz,alberta,capacity|electricity|renewables,GW,2050,55.62331257784538
canoe,nz,alberta,capacity|electricity|storage,GW,2025,0.3702108810689631
canoe,nz,alberta,capacity|electricity|storage,GW,2030,0.3706939623047303
canoe,nz,alberta,capacity|electricity|storage,GW,2035,0.25923053112230815
canoe,nz,alberta,capacity|electricity|storage,GW,2045,0.01045817346171663
