model,scenario,region,variable,unit,time,value
canoe,reference,alberta,capacity|electricity,GW,2025,26.346060661275352
canoe,reference,alberta,capacity|electricity,GW,2030,29.136203985022476
canoe,reference,alberta,capacity|electricity,GW,2035,39.96127620110687
canoe,reference,alberta,capacity|electricity,GW,2040,41.76310600063729
canoe,reference,alberta,capacity|electricity,GW,2045,45.974725938483694
canoe,reference,alberta,capacity|electricity,GW,2050,49.4680708027666
canoe,reference,british columbia,capacity|electricity,GW,2025,24.615676717472184
canoe,reference,british columbia,capacity|electricity,GW,2030,27.32952698227149
canoe,reference,british columbia,capacity|electricity,GW,2035,31.38569033258228
canoe,reference,british columbia,capacity|electricity,GW,2040,33.87369623465799
canoe,reference,british columbia,capacity|electricity,GW,2045,37.02960862185073
canoe,reference,british columbia,capacity|electricity,GW,2050,41.435066409232334
canoe,reference,canada,capacity|electricity,GW,2025,211.22596854869673
canoe,reference,canada,capacity|electricity,GW,2030,223.0984028707757
canoe,reference,canada,capacity|electricity,GW,2035,255.34524001752962
canoe,reference,canada,capacity|electricity,GW,2040,270.74776377091126
canoe,reference,canada,capacity|electricity,GW,2045,294.06516251265487
canoe,reference,canada,capacity|electricity,GW,2050,320.0148959143115
canoe,reference,manitoba,capacity|electricity,GW,2025,7.469244701563588
canoe,reference,manitoba,capacity|electricity,GW,2030,7.564819369166416
canoe,reference,manitoba,capacity|electricity,GW,2035,7.687263745145796
canoe,reference,manitoba,capacity|electricity,GW,2040,7.883695444283964
canoe,reference,manitoba,capacity|electricity,GW,2045,8.476218521138867
canoe,reference,manitoba,capacity|electricity,GW,2050,9.091299570818338
canoe,reference,new brunswick,capacity|electricity,GW,2025,5.127851278049708
canoe,reference,new brunswick,capacity|electricity,GW,2030,5.50866151759122
canoe,reference,new brunswick,capacity|electricity,GW,2035,5.46421350176491
canoe,reference,new brunswick,capacity|electricity,GW,2040,5.8509051977975695
canoe,reference,new brunswick,capacity|electricity,GW,2045,6.416072032913685
canoe,reference,new brunswick,capacity|electricity,GW,2050,6.77782730549146
canoe,reference,newfoundland and labrador,capacity|electricity,GW,2025,8.442078894071871
canoe,reference,newfoundland and labrador,capacity|electricity,GW,2030,8.448555405357045
canoe,reference,newfoundland and labrador,capacity|electricity,GW,2035,8.430306380086334
canoe,reference,newfoundland and labrador,capacity|electricity,GW,2040,8.38356425221121
canoe,reference,newfoundland and labrador,capacity|electricity,GW,2045,8.393304722250072
canoe,reference,newfoundland and labrador,capacity|electricity,GW,2050,8.39727842901721
canoe,reference,nova scotia,capacity|electricity,GW,2025,3.8286605912294034
canoe,reference,nova scotia,capacity|electricity,GW,2030,3.9743801693623264
canoe,reference,nova scotia,capacity|electricity,GW,2035,4.500037216307744
canoe,reference,nova scotia,capacity|electricity,GW,2040,5.04600686859873
canoe,reference,nova scotia,capacity|electricity,GW,2045,5.364011812855041
canoe,reference,nova scotia,capacity|electricity,GW,2050,5.986614532279724
canoe,reference,ontario,capacity|electricity,GW,2025,41.47421970306328
canoe,reference,ontario,capacity|electricity,GW,2030,46.59978269183721
canoe,reference,ontario,capacity|electricity,GW,2035,58.55404357611667
canoe,reference,ontario,capacity|electricity,GW,2040,67.04803733582777
canoe,reference,ontario,capacity|electricity,GW,2045,77.83451110870328
canoe,reference,ontario,capacity|electricity,GW,2050,88.17166032772758
canoe,reference,prince edward island,capacity|electricity,GW,2025,1.0605093849215335
canoe,reference,prince edward island,capacity|electricity,GW,2030,1.262091955754299
canoe,reference,prince edward island,capacity|electricity,GW,2035,1.46881280490916
canoe,reference,prince edward island,capacity|electricity,GW,2040,1.7454472147825453
canoe,reference,prince edward island,capacity|electricity,GW,2045,1.9448361170784136
canoe,reference,prince edward island,capacity|electricity,GW,2050,2.2192714904233455
canoe,reference,quebec,capacity|electricity,GW,2025,62.706481746884016
canoe,reference,quebec,capacity|electricity,GW,2030,62.67252628920069
canoe,reference,quebec,capacity|electricity,GW,2035,63.24497529206193
canoe,reference,quebec,capacity|electricity,GW,2040,63.91231801936954
canoe,reference,quebec,capacity|electricity,GW,2045,65.62588547614055
canoe,reference,quebec,capacity|electricity,GW,2050,70.42915153391716
canoe,reference,saskatchewan,capacity|electricity,GW,2025,5.893184870165801
canoe,reference,saskatchewan,capacity|electricity,GW,2030,6.33985450521252
canoe,reference,saskatchewan,capacity|electricity,GW,2035,10.386620967447927
canoe,reference,saskatchewan,capacity|electricity,GW,2040,10.978987202744648
canoe,reference,saskatchewan,capacity|electricity,GW,2045,12.74398816124053
canoe,reference,saskatchewan,capacity|electricity,GW,2050,13.776655512637763
canoe,reference,alberta,capacity|electricity|bioenergy,GW,2025,0.44405083694663083
canoe,reference,alberta,capacity|electricity|bioenergy,GW,2030,0.4441083917116075
canoe,reference,alberta,capacity|electricity|bioenergy,GW,2035,0.4441744796243707
canoe,reference,alberta,capacity|electricity|bioenergy,GW,2040,0.4012462949273575
canoe,reference,alberta,capacity|electricity|bioenergy,GW,2045,0.3543223824997502
canoe,reference,alberta,capacity|electricity|bioenergy,GW,2050,0.3364046829332685
canoe,reference,alberta,capacity|electricity|coal,GW,2025,4.36
canoe,reference,alberta,capacity|electricity|coal,GW,2030,3.9520000000000004
canoe,reference,alberta,capacity|electricity|coal,GW,2035,3.1220000000000003
canoe,reference,alberta,capacity|electricity|coal,GW,2040,2.7
canoe,reference,alberta,capacity|electricity|coal,GW,2045,2.2990000000000004
canoe,reference,alberta,capacity|electricity|coal,GW,2050,1.366
canoe,reference,alberta,capacity|electricity|hydro,GW,2025,0.9274
canoe,reference,alberta,capacity|electricity|hydro,GW,2030,0.9274
canoe,reference,alberta,capacity|electricity|hydro,GW,2035,0.9274
canoe,reference,alberta,capacity|electricity|hydro,GW,2040,0.9274
canoe,reference,alberta,capacity|electricity|hydro,GW,2045,0.9274
canoe,reference,alberta,capacity|electricity|hydro,GW,2050,0.9274
canoe,reference,alberta,capacity|electricity|interconnection,GW,2025,0.294
canoe,reference,alberta,capacity|electricity|interconnection,GW,2030,0.294
canoe,reference,alberta,capacity|electricity|interconnection,GW,2035,0.294
canoe,reference,alberta,capacity|electricity|interconnection,GW,2040,0.294
canoe,reference,alberta,capacity|electricity|interconnection,GW,2045,0.294
canoe,reference,alberta,capacity|electricity|interconnection,GW,2050,0.294
canoe,reference,alberta,capacity|electricity|natural gas,GW,2025,13.532311013766165
canoe,reference,alberta,capacity|electricity|natural gas,GW,2030,13.527620016623766
canoe,reference,alberta,capacity|electricity|natural gas,GW,2035,13.532829316655159
canoe,reference,alberta,capacity|electricity|natural gas,GW,2040,14.366592074146228
canoe,reference,alberta,capacity|electricity|natural gas,GW,2045,15.151214389379446
canoe,reference,alberta,capacity|electricity|natural gas,GW,2050,15.797823706702543
canoe,reference,alberta,capacity|electricity|renewables,GW,2025,6.417910156417539
canoe,reference,alberta,capacity|electricity|renewables,GW,2030,9.619792941936266
canoe,reference,alberta,capacity|electricity|renewables,GW,2035,21.179997278464235
canoe,reference,alberta,capacity|electricity|renewables,GW,2040,22.71710060080887
canoe,reference,alberta,capacity|electricity|renewables,GW,2045,26.425382117269493
canoe,reference,alberta,capacity|electricity|renewables,GW,2050,29.22054572890427
canoe,reference,alberta,capacity|electricity|storage,GW,2025,0.3703886541450173
canoe,reference,alberta,capacity|electricity|storage,GW,2030,0.37128263475083556
canoe,reference,alberta,capacity|electricity|storage,GW,2035,0.46087512636310446
canoe,reference,alberta,capacity|electricity|storage,GW,2040,0.35676703075484073
canoe,reference,alberta,capacity|electricity|storage,GW,2045,0.5234070493350029
canoe,reference,alberta,capacity|electricity|storage,GW,2050,1.5258966842265163
canoe,reference,british columbia,capacity|electricity|bioenergy,GW,2025,1.0890421430649464
canoe,reference,british columbia,capacity|electricity|bioenergy,GW,2030,1.0890998750390102
canoe,reference,british columbia,capacity|electricity|bioenergy,GW,2035,1.0341619739496557
canoe,reference,british columbia,capacity|electricity|bioenergy,GW,2040,1.0342285919100995
canoe,reference,british columbia,capacity|electricity|bioenergy,GW,2045,1.0251993517230633
canoe,reference,british columbia,capacity|electricity|bioenergy,GW,2050,0.9977161145826481
canoe,reference,british columbia,capacity|electricity|hydro,GW,2025,16.59751
canoe,reference,british columbia,capacity|electricity|hydro,GW,2030,16.59751
canoe,reference,british columbia,capacity|electricity|hydro,GW,2035,16.59751
canoe,reference,british columbia,capacity|electricity|hydro,GW,2040,16.59751
canoe,reference,british columbia,capacity|electricity|hydro,GW,2045,16.59751
canoe,reference,british columbia,capacity|electricity|hydro,GW,2050,16.59751
canoe,reference,british columbia,capacity|electricity|interconnection,GW,2025,2.376
canoe,reference,british columbia,capacity|electricity|interconnection,GW,2030,2.376
canoe,reference,british columbia,capacity|electricity|interconnection,GW,2035,2.376
canoe,reference,british columbia,capacity|electricity|interconnection,GW,2040,2.376
canoe,reference,british columbia,capacity|electricity|interconnection,GW,2045,2.376
canoe,reference,british columbia,capacity|electricity|interconnection,GW,2050,2.376
canoe,reference,british columbia,capacity|electricity|natural gas,GW,2025,3.096515324059463
canoe,reference,british columbia,capacity|electricity|natural gas,GW,2030,3.3328578755226705
canoe,reference,british columbia,capacity|electricity|natural gas,GW,2035,4.296198700988647
canoe,reference,british columbia,capacity|electricity|natural gas,GW,2040,4.960775283687174
canoe,reference,british columbia,capacity|electricity|natural gas,GW,2045,5.407688315213495
canoe,reference,british columbia,capacity|electricity|natural gas,GW,2050,6.166256284601539
canoe,reference,british columbia,capacity|electricity|renewables,GW,2025,1.4549703076420881
canoe,reference,british columbia,capacity|electricity|renewables,GW,2030,3.919952465578014
canoe,reference,british columbia,capacity|electricity|renewables,GW,2035,7.03579652814885
canoe,reference,british columbia,capacity|electricity|renewables,GW,2040,8.85552007929064
canoe,reference,british columbia,capacity|electricity|renewables,GW,2045,11.581216342322179
canoe,reference,british columbia,capacity|electricity|renewables,GW,2050,15.280715374090587
canoe,reference,british columbia,capacity|electricity|storage,GW,2030,0.014106766131791857
canoe,reference,british columbia,capacity|electricity|storage,GW,2035,0.0460231294951231
canoe,reference,british columbia,capacity|electricity|storage,GW,2040,0.04966227977007369
canoe,reference,british columbia,capacity|electricity|storage,GW,2045,0.0419946125919905
canoe,reference,british columbia,capacity|electricity|storage,GW,2050,0.016868635957558335
canoe,reference,canada,capacity|electricity|bioenergy,GW,2025,2.5573445825798236
canoe,reference,canada,capacity|electricity|bioenergy,GW,2030,2.5578791762002537
canoe,reference,canada,capacity|electricity|bioenergy,GW,2035,2.503455430569764
canoe,reference,canada,capacity|electricity|bioenergy,GW,2040,2.429879483291094
