model,scenario,region,variable,unit,time,value
canoe,nz,alberta,secondary energy|electricity,PJ,2025,417.5088869939587
canoe,nz,alberta,secondary energy|electricity,PJ,2030,473.34071938396903
canoe,nz,alberta,secondary energy|electricity,PJ,2035,510.68695315720043
canoe,nz,alberta,secondary energy|electricity,PJ,2040,554.7047272907291
canoe,nz,alberta,secondary energy|electricity,PJ,2045,581.0124116834584
canoe,nz,alberta,secondary energy|electricity,PJ,2050,633.5454545541749
canoe,nz,british columbia,secondary energy|electricity,PJ,2025,337.6152496372442
canoe,nz,british columbia,secondary energy|electricity,PJ,2030,370.42348687679316
canoe,nz,british columbia,secondary energy|electricity,PJ,2035,402.44874602015994
canoe,nz,british columbia,secondary energy|electricity,PJ,2040,446.7068561750228
canoe,nz,british columbia,secondary energy|electricity,PJ,2045,474.98658032921384
canoe,nz,british columbia,secondary energy|electricity,PJ,2050,523.2943218088724
canoe,nz,canada,secondary energy|electricity,PJ,2025,2907.136418959125
canoe,nz,canada,secondary energy|electricity,PJ,2030,3192.415107932966
canoe,nz,canada,secondary energy|electricity,PJ,2035,3467.735965428045
canoe,nz,canada,secondary energy|electricity,PJ,2040,3775.2125596006454
canoe,nz,canada,secondary energy|electricity,PJ,2045,3937.2483089051566
canoe,nz,canada,secondary energy|electricity,PJ,2050,4201.124893682044
canoe,nz,manitoba,secondary energy|electricity,PJ,2025,124.64813088393059
canoe,nz,manitoba,secondary energy|electricity,PJ,2030,126.52294436637277
canoe,nz,manitoba,secondary energy|electricity,PJ,2035,124.60157672094479
canoe,nz,manitoba,secondary energy|electricity,PJ,2040,137.29130360846136
canoe,nz,manitoba,secondary energy|electricity,PJ,2045,140.94964778980824
canoe,nz,manitoba,secondary energy|electricity,PJ,2050,148.88533862285752
canoe,nz,new brunswick,secondary energy|electricity,PJ,2025,77.14367855682315
canoe,nz,new brunswick,secondary energy|electricity,PJ,2030,77.47294885819474
canoe,nz,new brunswick,secondary energy|electricity,PJ,2035,81.40463322561672
canoe,nz,new brunswick,secondary energy|electricity,PJ,2040,85.96510683184647
canoe,nz,new brunswick,secondary energy|electricity,PJ,2045,87.99953421225146
canoe,nz,new brunswick,secondary energy|electricity,PJ,2050,90.33454490789134
canoe,nz,newfoundland and labrador,secondary energy|electricity,PJ,2025,110.90175223736784
canoe,nz,newfoundland and labrador,secondary energy|electricity,PJ,2030,121.91754846022845
canoe,nz,newfoundland and labrador,secondary energy|electricity,PJ,2035,85.79311553525547
canoe,nz,newfoundland and labrador,secondary energy|electricity,PJ,2040,92.51534202649896
canoe,nz,newfoundland and labrador,secondary energy|electricity,PJ,2045,91.87248921414933
canoe,nz,newfoundland and labrador,secondary energy|electricity,PJ,2050,91.44919343494198
canoe,nz,nova scotia,secondary energy|electricity,PJ,2025,39.18102710803825
canoe,nz,nova scotia,secondary energy|electricity,PJ,2030,52.89130206810833
canoe,nz,nova scotia,secondary energy|electricity,PJ,2035,59.73391615156275
canoe,nz,nova scotia,secondary energy|electricity,PJ,2040,66.98870793159772
canoe,nz,nova scotia,secondary energy|electricity,PJ,2045,68.25484845849684
canoe,nz,nova scotia,secondary energy|electricity,PJ,2050,71.36239219197853
canoe,nz,ontario,secondary energy|electricity,PJ,2025,678.0931593782003
canoe,nz,ontario,secondary energy|electricity,PJ,2030,782.5416388442221
canoe,nz,ontario,secondary energy|electricity,PJ,2035,958.500766267228
canoe,nz,ontario,secondary energy|electricity,PJ,2040,1117.307478856141
canoe,nz,ontario,secondary energy|electricity,PJ,2045,1207.9887339051459
canoe,nz,ontario,secondary energy|electricity,PJ,2050,1313.269866670239
canoe,nz,prince edward island,secondary energy|electricity,PJ,2025,22.806186349413597
canoe,nz,prince edward island,secondary energy|electricity,PJ,2030,26.42425103042389
canoe,nz,prince edward island,secondary energy|electricity,PJ,2035,36.30480004671934
canoe,nz,prince edward island,secondary energy|electricity,PJ,2040,46.2951771555285
canoe,nz,prince edward island,secondary energy|electricity,PJ,2045,47.36440332983171
canoe,nz,prince edward island,secondary energy|electricity,PJ,2050,49.535962012583646
canoe,nz,quebec,secondary energy|electricity,PJ,2025,981.151082589291
canoe,nz,quebec,secondary energy|electricity,PJ,2030,1030.459432109092
canoe,nz,quebec,secondary energy|electricity,PJ,2035,1061.250268891355
canoe,nz,quebec,secondary energy|electricity,PJ,2040,1065.1895479062694
canoe,nz,quebec,secondary energy|electricity,PJ,2045,1064.5736405005487
canoe,nz,quebec,secondary energy|electricity,PJ,2050,1087.8401473695924
canoe,nz,saskatchewan,secondary energy|electricity,PJ,2025,118.08726522485739
canoe,nz,saskatchewan,secondary energy|electricity,PJ,2030,130.4208359355613
canoe,nz,saskatchewan,secondary energy|electricity,PJ,2035,147.0111894120022
canoe,nz,saskatchewan,secondary energy|electricity,PJ,2040,162.24831181855006
canoe,nz,saskatchewan,secondary energy|electricity,PJ,2045,172.2460194822521
canoe,nz,saskatchewan,secondary energy|electricity,PJ,2050,191.60767210891225
canoe,nz,alberta,secondary energy|electricity|hydro,PJ,2025,7.334097848023168
canoe,nz,alberta,secondary energy|electricity|hydro,PJ,2030,7.3340163730538235
canoe,nz,alberta,secondary energy|electricity|hydro,PJ,2035,7.333776556846554
canoe,nz,alberta,secondary energy|electricity|hydro,PJ,2040,7.333601715765708
canoe,nz,alberta,secondary energy|electricity|hydro,PJ,2045,7.333380464145883
canoe,nz,alberta,secondary energy|electricity|hydro,PJ,2050,7.333208664534502
canoe,nz,alberta,secondary energy|electricity|natural gas,PJ,2025,46.74198660008948
canoe,nz,alberta,secondary energy|electricity|natural gas,PJ,2030,49.28945524061789
canoe,nz,alberta,secondary energy|electricity|natural gas,PJ,2035,50.80416334319749
canoe,nz,alberta,secondary energy|electricity|natural gas,PJ,2040,56.51436298638503
canoe,nz,alberta,secondary energy|electricity|natural gas,PJ,2045,50.29827999541643
canoe,nz,alberta,secondary energy|electricity|natural gas,PJ,2050,53.44389225549111
canoe,nz,alberta,secondary energy|electricity|renewables,PJ,2025,363.2787832611539
canoe,nz,alberta,secondary energy|electricity|renewables,PJ,2030,416.57296730394955
canoe,nz,alberta,secondary energy|electricity|renewables,PJ,2035,452.36339428036007
canoe,nz,alberta,secondary energy|electricity|renewables,PJ,2040,490.8468331504876
canoe,nz,alberta,secondary energy|electricity|renewables,PJ,2045,523.3571160643311
canoe,nz,alberta,secondary energy|electricity|renewables,PJ,2050,570.7692469151417
canoe,nz,alberta,secondary energy|electricity|storage,PJ,2025,0.15401928469217452
canoe,nz,alberta,secondary energy|electricity|storage,PJ,2030,0.1442804663477356
canoe,nz,alberta,secondary energy|electricity|storage,PJ,2035,0.18561897679632314
canoe,nz,alberta,secondary energy|electricity|storage,PJ,2045,0.02363515956505447
