model,scenario,region,variable,unit,time,value
canoe,reference,alberta,secondary energy|electricity,PJ,2025,333.2254645795951
canoe,reference,alberta,secondary energy|electricity,PJ,2030,367.1497756355555
canoe,reference,alberta,secondary energy|electricity,PJ,2035,401.47170898654804
canoe,reference,alberta,secondary energy|electricity,PJ,2040,421.7230917714918
canoe,reference,alberta,secondary energy|electricity,PJ,2045,443.4205745015669
canoe,reference,alberta,secondary energy|electricity,PJ,2050,474.5869310696729
canoe,reference,british columbia,secondary energy|electricity,PJ,2025,275.02456823953565
canoe,reference,british columbia,secondary energy|electricity,PJ,2030,311.68424076038565
canoe,reference,british columbia,secondary energy|electricity,PJ,2035,341.30380742186094
canoe,reference,british columbia,secondary energy|electricity,PJ,2040,355.4719723543061
canoe,reference,british columbia,secondary energy|electricity,PJ,2045,373.2624541408454
canoe,reference,british columbia,secondary energy|electricity,PJ,2050,398.46497347896144
canoe,reference,canada,secondary energy|electricity,PJ,2025,2383.3044355405077
canoe,reference,canada,secondary energy|electricity,PJ,2030,2559.4403406498395
canoe,reference,canada,secondary energy|electricity,PJ,2035,2736.134054086556
canoe,reference,canada,secondary energy|electricity,PJ,2040,2916.2736274820104
canoe,reference,canada,secondary energy|electricity,PJ,2045,3062.593609673239
canoe,reference,canada,secondary energy|electricity,PJ,2050,3285.203866225751
canoe,reference,manitoba,secondary energy|electricity,PJ,2025,97.55796501857299
canoe,reference,manitoba,secondary energy|electricity,PJ,2030,96.43393763338572
canoe,reference,manitoba,secondary energy|electricity,PJ,2035,99.98635666796756
canoe,reference,manitoba,secondary energy|electricity,PJ,2040,104.47265643670168
canoe,reference,manitoba,secondary energy|electricity,PJ,2045,114.7662947736895
canoe,reference,manitoba,secondary energy|electricity,PJ,2050,119.41821807459176
canoe,reference,new brunswick,secondary energy|electricity,PJ,2025,63.97539791785421
canoe,reference,new brunswick,secondary energy|electricity,PJ,2030,67.00450412107853
canoe,reference,new brunswick,secondary energy|electricity,PJ,2035,70.06212616508623
canoe,reference,new brunswick,secondary energy|electricity,PJ,2040,76.24338884346987
canoe,reference,new brunswick,secondary energy|electricity,PJ,2045,77.92926025856107
canoe,reference,new brunswick,secondary energy|electricity,PJ,2050,79.46551357815927
canoe,reference,newfoundland and labrador,secondary energy|electricity,PJ,2025,63.766828381661334
canoe,reference,newfoundland and labrador,secondary energy|electricity,PJ,2030,67.15064236583183
canoe,reference,newfoundland and labrador,secondary energy|electricity,PJ,2035,71.13842452352554
canoe,reference,newfoundland and labrador,secondary energy|electricity,PJ,2040,88.00214155151617
canoe,reference,newfoundland and labrador,secondary energy|electricity,PJ,2045,99.19074392469714
canoe,reference,newfoundland and labrador,secondary energy|electricity,PJ,2050,94.4067187093215
canoe,reference,nova scotia,secondary energy|electricity,PJ,2025,29.128122719296623
canoe,reference,nova scotia,secondary energy|electricity,PJ,2030,35.159651882924905
canoe,reference,nova scotia,secondary energy|electricity,PJ,2035,42.05976770020955
canoe,reference,nova scotia,secondary energy|electricity,PJ,2040,49.29235739806318
canoe,reference,nova scotia,secondary energy|electricity,PJ,2045,53.181684514771305
canoe,reference,nova scotia,secondary energy|electricity,PJ,2050,56.26246483213875
canoe,reference,ontario,secondary energy|electricity,PJ,2025,581.3260506679821
canoe,reference,ontario,secondary energy|electricity,PJ,2030,639.7958896950477
canoe,reference,ontario,secondary energy|electricity,PJ,2035,711.38108366338
canoe,reference,ontario,secondary energy|electricity,PJ,2040,788.6285420758745
canoe,reference,ontario,secondary energy|electricity,PJ,2045,831.5419657181951
canoe,reference,ontario,secondary energy|electricity,PJ,2050,923.9375382369375
canoe,reference,prince edward island,secondary energy|electricity,PJ,2025,12.006183616461922
canoe,reference,prince edward island,secondary energy|electricity,PJ,2030,14.465669879948193
canoe,reference,prince edward island,secondary energy|electricity,PJ,2035,18.41000965309123
canoe,reference,prince edward island,secondary energy|electricity,PJ,2040,21.52189168081382
canoe,reference,prince edward island,secondary energy|electricity,PJ,2045,23.393761755453863
canoe,reference,prince edward island,secondary energy|electricity,PJ,2050,25.757122964034856
canoe,reference,quebec,secondary energy|electricity,PJ,2025,833.9647419922072
canoe,reference,quebec,secondary energy|electricity,PJ,2030,856.5390454530891
canoe,reference,quebec,secondary energy|electricity,PJ,2035,868.245847329263
canoe,reference,quebec,secondary energy|electricity,PJ,2040,891.4241295539955
canoe,reference,quebec,secondary energy|electricity,PJ,2045,916.4633193568945
canoe,reference,quebec,secondary energy|electricity,PJ,2050,973.0324735668161
canoe,reference,saskatchewan,secondary energy|electricity,PJ,2025,93.32911240734077
canoe,reference,saskatchewan,secondary energy|electricity,PJ,2030,104.05698322259262
canoe,reference,saskatchewan,secondary energy|electricity,PJ,2035,112.07492197562392
canoe,reference,saskatchewan,secondary energy|electricity,PJ,2040,119.49345581577793
canoe,reference,saskatchewan,secondary energy|electricity,PJ,2045,129.44355072856408
canoe,reference,saskatchewan,secondary energy|electricity,PJ,2050,139.871911715117
canoe,reference,alberta,secondary energy|electricity|hydro,PJ,2025,7.333830715919932
canoe,reference,alberta,secondary energy|electricity|hydro,PJ,2030,7.33374123054287
canoe,reference,alberta,secondary energy|electricity|hydro,PJ,2035,7.333806024853848
canoe,reference,alberta,secondary energy|electricity|hydro,PJ,2040,7.333643860776334
canoe,reference,alberta,secondary energy|electricity|hydro,PJ,2045,7.333339475530008
canoe,reference,alberta,secondary energy|electricity|hydro,PJ,2050,7.3330768292702375
canoe,reference,alberta,secondary energy|electricity|natural gas,PJ,2025,255.64663512837592
canoe,reference,alberta,secondary energy|electricity|natural gas,PJ,2030,250.91481410660128
canoe,reference,alberta,secondary energy|electricity|natural gas,PJ,2035,169.53244316014295
canoe,reference,alberta,secondary energy|electricity|natural gas,PJ,2040,175.99724341926526
canoe,reference,alberta,secondary energy|electricity|natural gas,PJ,2045,164.2423217342114
canoe,reference,alberta,secondary energy|electricity|natural gas,PJ,2050,162.23297877288704
canoe,reference,alberta,secondary energy|electricity|renewables,PJ,2025,69.90604938850664
canoe,reference,alberta,secondary energy|electricity|renewables,PJ,2030,108.42555250929438
canoe,reference,alberta,secondary energy|electricity|renewables,PJ,2035,224.27200144421118
canoe,reference,alberta,secondary energy|electricity|renewables,PJ,2040,237.91780815750613
canoe,reference,alberta,secondary energy|electricity|renewables,PJ,2045,270.7912424603456
canoe,reference,alberta,secondary energy|electricity|renewables,PJ,2050,299.89668029266346
canoe,reference,alberta,secondary energy|electricity|storage,PJ,2025,0.33894934679260624
canoe,reference,alberta,secondary energy|electricity|storage,PJ,2030,0.4756677891169532
canoe,reference,alberta,secondary energy|electricity|storage,PJ,2035,0.3334583573400324
canoe,reference,alberta,secondary energy|electricity|storage,PJ,2040,0.4743963339440902
canoe,reference,alberta,secondary energy|electricity|storage,PJ,2045,1.0536708314798784
canoe,reference,alberta,secondary energy|electricity|storage,PJ,2050,5.124195174852166
canoe,reference,british columbia,secondary energy|electricity|bioenergy,PJ,2025,0.12536725645162122
canoe,reference,british columbia,secondary energy|electricity|bioenergy,PJ,2030,0.09652804576019972
canoe,reference,british columbia,secondary energy|electricity|bioenergy,PJ,2035,0.15838295395608845
canoe,reference,british columbia,secondary energy|electricity|bioenergy,PJ,2040,0.10114740208838956
canoe,reference,british columbia,secondary energy|electricity|bioenergy,PJ,2045,0.13640812225151125
canoe,reference,british columbia,secondary energy|electricity|bioenergy,PJ,2050,0.09676407886560781
canoe,reference,british columbia,secondary energy|electricity|hydro,PJ,2025,214.55292889384728
canoe,reference,british columbia,secondary energy|electricity|hydro,PJ,2030,215.89900216987257
canoe,reference,british columbia,secondary energy|electricity|hydro,PJ,2035,213.99753872883525
canoe,reference,british columbia,secondary energy|electricity|hydro,PJ,2040,213.23685037024708
canoe,reference,british columbia,secondary energy|electricity|hydro,PJ,2045,210.59554295724428
canoe,reference,british columbia,secondary energy|electricity|hydro,PJ,2050,205.56258226219035
canoe,reference,british columbia,secondary energy|electricity|natural gas,PJ,2025,39.08371921419494
canoe,reference,british columbia,secondary energy|electricity|natural gas,PJ,2030,33.55793070026242
canoe,reference,british columbia,secondary energy|electricity|natural gas,PJ,2035,19.54778830077176
canoe,reference,british columbia,secondary energy|electricity|natural gas,PJ,2040,16.41061799385456
canoe,reference,british columbia,secondary energy|electricity|natural gas,PJ,2045,12.070893091078025
canoe,reference,british columbia,secondary energy|electricity|natural gas,PJ,2050,8.127090162106759
canoe,reference,british columbia,secondary energy|electricity|renewables,PJ,2025,21.26063085029523
canoe,reference,british columbia,secondary energy|electricity|renewables,PJ,2030,62.10908445660023
canoe,reference,british columbia,secondary energy|electricity|renewables,PJ,2035,107.54615733263248
canoe,reference,british columbia,secondary energy|electricity|renewables,PJ,2040,125.67993022409263
canoe,reference,british columbia,secondary energy|electricity|renewables,PJ,2045,150.40083772495083
canoe,reference,british columbia,secondary energy|electricity|renewables,PJ,2050,184.62367385522873
canoe,reference,british columbia,secondary energy|electricity|storage,PJ,2030,0.021695387890248007
canoe,reference,british columbia,secondary energy|electricity|storage,PJ,2035,0.053940105665344164
canoe,reference,british columbia,secondary energy|electricity|storage,PJ,2040,0.043426364023414356
canoe,reference,british columbia,secondary energy|electricity|storage,PJ,2045,0.05877224532077583
