Model,Scenario,Region,Variable,Unit,2025,2030,2035,2040,2045,2050
Temoa,reference,AB,Activity|agriculture|A_AGRI,?,62.1,68.61725659,66.51604567,64.52999393,64.736649,65.89809461
Temoa,reference,AB,Activity|agriculture|E_A_ELC,?,6.768900766,7.479282652,7.250251807,7.033773602,7.056300931,7.182900946
Temoa,reference,AB,Activity|agriculture|F_A_DSL,?,35.2107,38.90598448,37.7145979,36.58850656,36.70567998,37.36421965
Temoa,reference,AB,Activity|agriculture|F_A_GSL,?,14.3451,15.85058627,15.36520655,14.9064286,14.95416592,15.22245986
Temoa,reference,AB,Activity|agriculture|F_A_NG,?,5.775299234,6.381403178,6.185989418,6.001285171,6.020502166,6.128514166
Temoa,reference,AB,Activity|commercial,?,465.6180504,515.0807927,552.2255485,574.2898481,599.1133266,635.7548792
Temoa,reference,AB,Activity|commercial|C_OTHER,?,80.51675632,88.96681002,95.29340381,99.02226632,103.2265645,109.5399978
Temoa,reference,AB,Activity|commercial|C_SPHC_HP_AIR-NEW,?,15.96878553,17.64458728,18.89873328,19.63694942,20.47142535,21.72336968
Temoa,reference,AB,Activity|commercial|C_SPH_ELC-EXS,?,,0.002303718,,,,
Temoa,reference,AB,Activity|commercial|C_SPH_NG-EXS,?,108.0601095,81.04476842,54.02946842,27.01120699,,
Temoa,reference,AB,Activity|commercial|C_SPH_NG_FRN-NEW,?,19.88455063,60.32465811,97.39685311,130.3411284,164.0327833,174.0648342
Temoa,reference,AB,Activity|commercial|E_C_ELC,?,68.55072457,77.89141054,85.72640447,91.46833985,97.84104553,106.4664319
Temoa,reference,AB,Activity|commercial|F_C_NG,?,172.6371239,189.2062546,200.8806854,206.8099571,213.5415079,223.9602456
Temoa,reference,AB,Activity|electricity,?,1616.755974,1702.090011,1574.351411,1653.233266,1710.41373,1802.861682
Temoa,reference,AB,Activity|electricity|E_BAT_2H-EXS,?,0.338865893,0.474923785,0.190104136,,,
Temoa,reference,AB,Activity|electricity|E_BAT_2H-NEW,?,5.10153E-05,0.00053463,0.142477364,0.468321334,1.032929448,1.252577073
Temoa,reference,AB,Activity|electricity|E_BAT_4H-NEW,?,3.2438E-05,0.000209374,0.000876857,0.006074999,0.020741383,3.871618102
Temoa,reference,AB,Activity|electricity|E_COAL-EXS,?,,,,0.002832729,0.004715837,0.006110978
Temoa,reference,AB,Activity|electricity|E_ELC_DX_to_DEM,?,322.2886089,354.6475795,388.1792337,408.4017716,427.9439039,452.9554222
Temoa,reference,AB,Activity|electricity|E_ELC_TX_to_DX,?,273.5371592,305.896178,339.4279465,359.6505916,397.7549932,433.1357287
Temoa,reference,AB,Activity|electricity|E_HYD_DLY-EXS,?,6.176395711,6.176354859,6.176531818,6.176477698,6.17630239,6.176211151
