Model,Scenario,Region,Variable,Unit,2025,2030,2035,2040,2045,2050
Temoa,nz,AB,Activity|agriculture|A_AGRI,?,62.1,68.61725636,66.51604555,64.52999377,64.7366488,65.89809438
Temoa,nz,AB,Activity|agriculture|E_A_ELC,?,6.768901022,7.479283976,7.250257013,7.033781357,7.056315072,7.182925638
Temoa,nz,AB,Activity|agriculture|F_A_DSL,?,35.2107,38.90598435,37.71459783,36.58850647,36.70567987,37.36421951
Temoa,nz,AB,Activity|agriculture|F_A_GSL,?,14.34509995,15.85058622,15.36520652,14.90642856,14.95416587,15.2224598
Temoa,nz,AB,Activity|agriculture|F_A_NG,?,5.775299028,6.381401808,6.185984189,6.001277385,6.020487985,6.128489426
Temoa,nz,AB,Activity|commercial,?,346.9827095,383.3976746,410.6617706,426.7310671,444.8492641,472.0567107
Temoa,nz,AB,Activity|commercial|C_OTHER,?,80.51675632,88.96681002,95.29340381,99.02226632,103.2265645,109.5399978
Temoa,nz,AB,Activity|commercial|C_SPHC_HP_AIR-NEW,?,143.9139451,159.0172973,170.3252949,176.9901446,184.504815,195.7893509
Temoa,nz,AB,Activity|commercial|E_C_ELC,?,106.1814311,119.4701046,130.2635568,137.7484401,146.0859804,157.6619681
Temoa,nz,AB,Activity|commercial|F_C_NG,?,16.37057706,15.94346273,14.77951514,12.97021612,11.03190407,9.065393968
Temoa,nz,AB,Activity|electricity,?,1280.560755,1449.859057,1567.531704,1712.988572,1791.714303,1955.493253
Temoa,nz,AB,Activity|electricity|E_BAT_2H-EXS,?,0.154019285,0.14423132,0.183487712,,,
Temoa,nz,AB,Activity|electricity|E_BAT_2H-NEW,?,,3.67285E-05,0.001530712,0.004627878,0.009345351,0.021778792
Temoa,nz,AB,Activity|electricity|E_BAT_4H-NEW,?,,1.24179E-05,0.000600554,0.005301561,0.014289808,1.977327927
Temoa,nz,AB,Activity|electricity|E_COAL-EXS,?,,,,0.000256767,0.000315882,0.002304146
Temoa,nz,AB,Activity|electricity|E_ELC_DX_to_DEM,?,403.98381,457.1252773,495.1576316,538.6387321,564.7365705,613.4230421
